Step,Value
318,-185.3500833
319,-187.2665208
320,-187.4527083
321,-185.7563958
322,-180.9692292
323,-180.5181458
324,-179.8675417
325,-179.3552292
326,-184.591
327,-185.0103958
328,-182.1734375
329,-182.7460833
330,-186.1804792
331,-184.6947708
332,-183.972875
333,-186.5373958
334,-185.8817708
335,-187.4954583
336,-186.0050208
337,-181.0542917
338,-178.627375
339,-177.4847292
340,-177.5846875
341,-180.8887292
342,-181.1093125
343,-182.7588333
344,-185.6968958
345,-187.4573125
346,-183.1968125
347,-181.7923958
348,-178.5835
349,-186.4680833
350,-185.3268958
351,-185.7766042
352,-184.472375
353,-189.2259792
354,-189.44925
355,-187.8087292
356,-190.5060833
357,-188.740875
358,-183.5250625
359,-180.6755
360,-182.3155417
361,-175.139375
362,-179.1366458
363,-178.01
364,-179.462
365,-178.3727917
366,-181.4783958
367,-183.9168958
368,-184.4436667
369,-185.0818125
370,-188.149625
371,-184.3183958
372,-187.0902083
373,-183.5421875
374,-184.0893333
375,-182.7400833
376,-184.234125
377,-183.3136875
378,-183.2107917
379,-185.9825625
380,-186.8327917
381,-185.2027292
382,-184.8870208
383,-185.9728125
384,-186.0002917
385,-189.0590833
386,-187.5534375
387,-185.3821875
388,-182.6742292
389,-182.0504375
390,-180.2408958
391,-177.5602083
392,-179.5013542
393,-177.6290208
394,-178.3612083
395,-179.8210417
396,-179.1291042
397,-178.8615417
398,-182.8708958
399,-179.0563542
400,-175.6984375
401,-176.113625
402,-177.7342917
403,-179.3910625
404,-180.3602083
405,-177.8044375
406,-180.9104167
407,-180.033375
408,-185.1730208
409,-185.0710833
410,-182.2380833
411,-184.5223333
412,-181.90175
413,-183.1652083
414,-183.1753958
415,-179.1861458
416,-184.8785625
417,-182.3369583
418,-179.749875
419,-175.5220625
420,-180.5268958
421,-180.4317917
422,-180.0078542
423,-180.2503542
424,-177.2745208
425,-178.6143958
426,-179.869625
427,-181.0748333
428,-179.3582917
429,-183.6671042
430,-183.4615417
431,-181.072375
432,-183.6685833
433,-181.4838333
434,-183.6417917
435,-183.8368333
436,-178.7422083
437,-176.1886042
438,-183.7506875
439,-184.4268542
440,-186.3079167
441,-183.69425
442,-184.6033958
443,-185.1258125
444,-181.2875
445,-180.0990625
446,-180.960625
447,-178.681125
448,-182.0074792
449,-179.7815625
450,-176.7774792
451,-180.9753125
452,-179.9717917
453,-179.7557708
454,-182.571625
455,-186.4611042
456,-190.5444583
457,-183.687625
458,-185.4693333
459,-186.3155625
460,-184.6679792
461,-185.1714167
462,-185.5086667
463,-188.7539792
464,-186.1382708
465,-182.1818542
466,-184.2861875
467,-185.6027292
468,-185.0074583
469,-188.9254167
470,-183.80875
471,-187.3455
472,-185.2196875
473,-183.7969167
