EV,Waiting_time,Charging_time,Total,Reward
0,0.0,1.2499999999999996,3.9799999999999995,-3.9799999999999995
1,0.0,0.8812499999999996,3.611249999999999,-3.611249999999999
2,0.0,1.375,4.1049999999999995,-4.1049999999999995
3,0.0,1.1062499999999997,3.8362499999999997,-3.8362499999999997
4,0.0,1.6916666666666673,4.511666666666668,-4.511666666666668
5,0.0,1.1812499999999997,4.0512500000000005,-4.0512500000000005
6,0,1.36875,4.09875,-4.09875
7,0.22249999999999948,0.9562499999999996,3.908749999999999,-3.908749999999999
8,0.0,1.3374999999999997,4.2175,-4.2175
9,0.0,0.9374999999999997,3.6674999999999995,-3.6674999999999995
10,0.17124999999999868,1.5812499999999998,4.482499999999999,-4.482499999999999
11,0.0,1.3312499999999998,4.20125,-4.20125
12,0.0,1.4624999999999995,4.342499999999999,-4.342499999999999
13,0.0,1.6187500000000001,4.43875,-4.43875
14,0.0,1.3499999999999999,4.22,-4.22
15,0.0,1.03125,3.9012500000000006,-3.9012500000000006
16,0.0,1.3437499999999996,4.21375,-4.21375
17,0.0,1.2937499999999997,4.14375,-4.14375
18,0.525,1.29375,4.6887500000000015,-4.6887500000000015
19,0.0,1.2374999999999998,4.0575,-4.0575
20,0.0,1.2437499999999997,4.06375,-4.06375
21,0.0,1.26875,4.1187499999999995,-4.1187499999999995
22,0.0,0.875,3.835,-3.835
23,0.0,1.9499999999999997,5.12,-5.12
24,0.027499999999998637,1.55625,4.4137499999999985,-4.4137499999999985
25,0.0,1.5312499999999996,4.49125,-4.49125
26,0.15499999999999867,1.18125,4.066249999999998,-4.066249999999998
27,0.10374999999999927,1.2062499999999998,4.159999999999998,-4.159999999999998
28,0.34750000000000003,1.43125,4.608750000000001,-4.608750000000001
29,0.7949999999999995,1.6312499999999994,5.156249999999998,-5.156249999999998
