action
20.0
20.0
8.0
12.0
20.0
20.0
6.0
20.0
4.0
1.0
20.0
2.0
20.0
1.0
10.0
20.0
0.0
20.0
3.0
7.0
20.0
19.0
20.0
20.0
9.0
2.0
0.0
5.0
14.0
19.0
20.0
20.0
20.0
9.0
2.0
20.0
8.0
20.0
9.0
18.0
20.0
8.0
3.0
20.0
13.0
10.0
16.0
11.0
20.0
14.0
6.0
11.0
17.0
2.0
5.0
7.0
20.0
20.0
11.0
20.0
20.0
6.0
1.0
15.0
16.0
4.0
4.0
0.0
20.0
14.0
11.0
12.0
4.0
20.0
18.0
5.0
7.0
20.0
15.0
20.0
20.0
0.0
15.0
20.0
13.0
17.0
8.0
9.0
10.0
20.0
4.0
18.0
16.0
15.0
0.0
7.0
12.0
20.0
18.0
20.0
20.0
20.0
8.0
10.0
15.0
20.0
8.0
1.0
16.0
14.0
14.0
3.0
20.0
20.0
20.0
8.0
0.0
20.0
4.0
9.0
20.0
1.0
20.0
6.0
15.0
20.0
20.0
0.0
20.0
7.0
7.0
5.0
3.0
2.0
18.0
3.0
13.0
20.0
6.0
17.0
14.0
6.0
6.0
18.0
20.0
19.0
20.0
7.0
5.0
20.0
8.0
20.0
6.0
8.0
13.0
3.0
1.0
0.0
20.0
20.0
6.0
15.0
20.0
20.0
20.0
20.0
14.0
0.0
4.0
20.0
15.0
12.0
12.0
6.0
5.0
20.0
7.0
20.0
20.0
20.0
1.0
20.0
3.0
4.0
2.0
10.0
11.0
8.0
14.0
20.0
20.0
14.0
12.0
18.0
20.0
0.0
14.0
17.0
20.0
20.0
19.0
20.0
6.0
20.0
13.0
16.0
20.0
12.0
11.0
14.0
7.0
12.0
20.0
17.0
14.0
20.0
13.0
20.0
20.0
20.0
16.0
7.0
8.0
8.0
1.0
4.0
18.0
2.0
20.0
9.0
20.0
20.0
20.0
20.0
20.0
20.0
12.0
4.0
15.0
20.0
17.0
20.0
1.0
20.0
20.0
16.0
6.0
20.0
20.0
0.0
4.0
20.0
5.0
10.0
3.0
9.0
20.0
6.0
20.0
10.0
20.0
20.0
20.0
2.0
10.0
7.0
20.0
6.0
20.0
12.0
12.0
0.0
10.0
17.0
9.0
19.0
20.0
10.0
20.0
20.0
20.0
20.0
12.0
0.0
10.0
15.0
12.0
20.0
9.0
4.0
20.0
20.0
1.0
20.0
11.0
20.0
2.0
2.0
13.0
20.0
20.0
20.0
3.0
3.0
15.0
6.0
18.0
3.0
8.0
7.0
6.0
13.0
15.0
13.0
20.0
11.0
6.0
20.0
20.0
0.0
20.0
11.0
14.0
4.0
14.0
2.0
1.0
20.0
10.0
20.0
20.0
20.0
18.0
3.0
20.0
20.0
20.0
10.0
20.0
20.0
20.0
13.0
20.0
8.0
20.0
5.0
5.0
20.0
20.0
20.0
16.0
20.0
20.0
6.0
12.0
12.0
20.0
20.0
20.0
20.0
17.0
11.0
14.0
20.0
20.0
8.0
17.0
20.0
20.0
20.0
2.0
5.0
11.0
6.0
14.0
4.0
8.0
1.0
8.0
15.0
20.0
20.0
12.0
14.0
14.0
15.0
20.0
5.0
20.0
6.0
2.0
20.0
19.0
8.0
19.0
16.0
4.0
15.0
10.0
20.0
20.0
12.0
10.0
20.0
20.0
6.0
16.0
20.0
1.0
20.0
20.0
14.0
6.0
15.0
10.0
0.0
14.0
20.0
20.0
20.0
7.0
4.0
5.0
20.0
11.0
20.0
20.0
12.0
6.0
20.0
20.0
20.0
20.0
2.0
10.0
19.0
20.0
20.0
6.0
3.0
20.0
13.0
11.0
15.0
8.0
8.0
10.0
20.0
0.0
13.0
18.0
20.0
20.0
16.0
2.0
9.0
8.0
20.0
11.0
17.0
4.0
20.0
20.0
20.0
2.0
15.0
20.0
20.0
7.0
6.0
6.0
13.0
5.0
10.0
9.0
6.0
10.0
11.0
0.0
19.0
20.0
10.0
11.0
13.0
16.0
7.0
6.0
4.0
17.0
20.0
20.0
16.0
13.0
20.0
20.0
20.0
20.0
16.0
20.0
1.0
20.0
20.0
20.0
20.0
20.0
20.0
20.0
6.0
6.0
20.0
10.0
20.0
9.0
3.0
12.0
11.0
17.0
16.0
